Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
preloadlist;rtld.c;825;2.2386395931243896;0-10;Double bit-flip
a3;lreg.cpp;45;3.6078832149505615;0-10;Double bit-flip
a3;lreg.cpp;45;5.807138442993164;0-10;Double bit-flip
MSE;lreg.cpp;153;9.239436626434326;0-10;Double bit-flip
a2;lreg.cpp;45;6.076918601989746;0-10;Double bit-flip
testCases;lreg.cpp;195;3.77235746383667;0-10;Double bit-flip
relocate_time;rtld.c;306;3.0555078983306885;0-10;Double bit-flip
x;lreg.cpp;41;4.384984731674194;0-10;Double bit-flip
a3;lreg.cpp;45;1.7504022121429443;0-10;Double bit-flip
a2;lreg.cpp;45;2.6804637908935547;0-10;Double bit-flip
y;lreg.cpp;42;3.0699925422668457;0-10;Double bit-flip
T;lreg.cpp;43;3.3472511768341064;0-10;Double bit-flip
argv;lreg.cpp;183;5.153654336929321;0-10;Double bit-flip
i2;lreg.cpp;198;6.328913450241089;0-10;Double bit-flip
i2;lreg.cpp;198;2.301544189453125;0-10;Double bit-flip
_dl_rtld_libname2;rtld.c;302;1.6314232349395752;0-10;Double bit-flip
_dl_rtld_libname2;rtld.c;302;1.5846116542816162;0-10;Double bit-flip
a3;lreg.cpp;45;2.390380859375;0-10;Double bit-flip
predictions;lreg.cpp;203;2.454554796218872;0-10;Double bit-flip
iterations;lreg.cpp;141;6.4736340045928955;0-10;Double bit-flip
relocate_time;rtld.c;306;1.916025161743164;0-10;Double bit-flip
predictions;lreg.cpp;203;1.7448980808258057;0-10;Double bit-flip
start_time;rtld.c;308;1.396806001663208;0-10;Double bit-flip
ln2a;../sysdeps/ieee754/dbl-64/upow.h;50;8.17566728591919;0-10;Double bit-flip
a2;lreg.cpp;45;4.52168083190918;0-10;Double bit-flip
tls_init_tp_called;rtld.c;677;1.979949712753296;0-10;Double bit-flip
y;lreg.cpp;42;4.574119567871094;0-10;Double bit-flip
PD;lreg.cpp;118;2.2651538848876953;0-10;Double bit-flip
testCases;lreg.cpp;195;1.881354808807373;0-10;Double bit-flip
tls_init_tp_called;rtld.c;677;0.8694329261779785;0-10;Double bit-flip
a1;lreg.cpp;45;3.4131453037261963;0-10;Double bit-flip
N;lreg.cpp;203;3.454801559448242;0-10;Double bit-flip
x;lreg.cpp;41;6.566167116165161;0-10;Double bit-flip
argc;lreg.cpp;183;2.82918119430542;0-10;Double bit-flip
relocate_time;rtld.c;306;2.2688333988189697;0-10;Double bit-flip
_dl_rtld_libname2;rtld.c;302;1.8559322357177734;0-10;Double bit-flip
x;w_pow_compat.c;28;3.5120692253112793;0-10;Double bit-flip
testCases;lreg.cpp;195;1.556790828704834;0-10;Double bit-flip
a2;lreg.cpp;45;3.572326421737671;0-10;Double bit-flip
testCases;lreg.cpp;195;3.721752643585205;0-10;Double bit-flip
testCases;lreg.cpp;195;2.011113405227661;0-10;Double bit-flip
predictions;lreg.cpp;203;8.007103204727173;0-10;Double bit-flip
predictions;lreg.cpp;203;5.108785152435303;0-10;Double bit-flip
a3;lreg.cpp;45;3.329977512359619;0-10;Double bit-flip
iterations;lreg.cpp;141;6.445863962173462;0-10;Double bit-flip
tls_init_tp_called;rtld.c;677;1.895254135131836;0-10;Double bit-flip
x;lreg.cpp;41;3.6545159816741943;0-10;Double bit-flip
audit_list;rtld.c;142;2.073378324508667;0-10;Double bit-flip
testCases;lreg.cpp;195;1.393873691558838;0-10;Double bit-flip
a1;lreg.cpp;45;3.656921863555908;0-10;Double bit-flip
iterations;lreg.cpp;141;4.2968361377716064;0-10;Double bit-flip
stopsWhenStable;lreg.cpp;141;3.059098958969116;0-10;Double bit-flip
testCases;lreg.cpp;195;6.249886989593506;0-10;Double bit-flip
a3;lreg.cpp;45;3.883990526199341;0-10;Double bit-flip
x;lreg.cpp;41;6.644204139709473;0-10;Double bit-flip
a1;lreg.cpp;45;5.287791013717651;0-10;Double bit-flip
testCases;lreg.cpp;195;2.763362407684326;0-10;Double bit-flip
_dl_rtld_libname;rtld.c;301;1.5262024402618408;0-10;Double bit-flip
testCases;lreg.cpp;195;4.782177686691284;0-10;Double bit-flip
PD;lreg.cpp;118;2.559368371963501;0-10;Double bit-flip
